benchmark,method,metric_a,metric_b,notes
ContractNLI,PolicyLLM,0.3333333333333333,0.16666666666666666,accuracy/macro_f1
LegalBench::unfair_tos,PolicyLLM,0.0,0.0,accuracy/macro_f1
LegalBench::privacy_policy_entailment,PolicyLLM,0.6666666666666666,0.4,accuracy/macro_f1
CUAD,PolicyLLM,0.3333333333333333,0.037037037037037035,precision/recall
