benchmark,method,metric_a,metric_b,notes
ContractNLI,PolicyLLM,0.42,0.31979092421002614,accuracy/macro_f1
LegalBench::unfair_tos,PolicyLLM,0.98,0.494949494949495,accuracy/macro_f1
LegalBench::privacy_policy_entailment,PolicyLLM,0.5,0.3333333333333333,accuracy/macro_f1
CUAD,PolicyLLM,0.3,0.06666666666666668,precision/recall
